INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 3793090311
INFO: Loaded 1 modules   (4141 inline 8-bit counters): 4141 [0x5b8542741218, 0x5b8542742245), 
INFO: Loaded 1 PC tables (4141 PCs): 4141 [0x5b8542742248,0x5b8542752518), 
INFO: 5530 Extra Counters
INFO:      786 files found in corpus/libplist/jplist/
INFO: -max_len is not provided; libFuzzer will not generate inputs larger than 4096 bytes
INFO: seed corpus: files: 786 min: 1b max: 4059b total: 542639b rss: 27Mb
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:505:15
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:234:10
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:232:5
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:247:10
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:245:5
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:187:59
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:187:95
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:192:3
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:76:59
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:76:95
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:125:59
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:143:7
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:125:95
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:46:31
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:198:6
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:498:31
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:0:0
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:570:47
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:619:31
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:618:5
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:514:31
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:514:5
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:514:55
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:102:7
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:108:8
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:100:2
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:262:0
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:105:7
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:0:0
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:274:0
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:276:15
[INTEGRITY] OVERFLOW at libplist/libcnary/node_list.c:126:7
[INTEGRITY] OVERFLOW at libplist/libcnary/node_list.c:90:2
[INTEGRITY] OVERFLOW at libplist/src/plist.c:1737:26
[INTEGRITY] OVERFLOW at libplist/src/plist.c:0:0
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:107:3
[INTEGRITY] OVERFLOW at libplist/src/plist.c:463:5
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:264:25
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:116:2
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:288:7
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:286:2
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:135:57
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:0:0
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:258:6
[INTEGRITY] OVERFLOW at libplist/src/plist.c:1304:40
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:614:0
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:257:9
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:48:0
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:64:6
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:133:0
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:80:17
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:80:2
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:89:0
[INTEGRITY] OVERFLOW at libplist/libcnary/node_list.c:51:0
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:156:17
[INTEGRITY] OVERFLOW at libplist/src/plist.c:1080:0
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:776:17
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:749:5
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:163:0
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:166:6
[INTEGRITY] OVERFLOW at libplist/libcnary/node_list.c:120:0
[INTEGRITY] OVERFLOW at libplist/libcnary/node_list.c:129:7
[INTEGRITY] OVERFLOW at libplist/libcnary/node_list.c:0:0
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:170:39
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:263:6
[INTEGRITY] OVERFLOW at libplist/src/plist.c:390:0
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:31:0
[INTEGRITY] OVERFLOW at libplist/libcnary/node_list.c:32:0
[INTEGRITY] OVERFLOW at libplist/src/plist.c:423:5
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:34:21
[INTEGRITY] OVERFLOW at libplist/src/plist.c:450:13
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:150:6
[INTEGRITY] OVERFLOW at libplist/libcnary/node_list.c:64:9
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:693:0
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:687:18
[INTEGRITY] OVERFLOW at libplist/src/plist.c:360:0
[INTEGRITY] OVERFLOW at libplist/src/plist.c:348:0
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:722:13
[INTEGRITY] OVERFLOW at libplist/libcnary/node_list.c:137:13
[INTEGRITY] OVERFLOW at libplist/src/plist.c:473:17
[INTEGRITY] OVERFLOW at libplist/src/plist.c:392:5
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:145:8
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:105:56
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:274:6
[INTEGRITY] OVERFLOW at libplist/src/plist.c:997:9
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:77:3
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:235:18
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:248:24
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:273:9
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:686:9
[INTEGRITY] OVERFLOW at libplist/src/plist.c:1315:0
[INTEGRITY] OVERFLOW at libplist/src/plist.c:1275:0
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:867:13
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:818:5
[INTEGRITY] OVERFLOW at libplist/src/plist.c:1304:17
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:268:0
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:270:15
[INTEGRITY] OVERFLOW at libplist/libcnary/node_list.c:130:16
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:179:0
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:196:6
[INTEGRITY] OVERFLOW at libplist/libcnary/node_list.c:79:0
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:202:17
[INTEGRITY] OVERFLOW at libplist/src/plist.c:1366:13
[INTEGRITY] OVERFLOW at libplist/src/plist.c:500:0
[INTEGRITY] OVERFLOW at libplist/src/plist.c:505:9
[INTEGRITY] OVERFLOW at libplist/src/plist.c:428:0
[INTEGRITY] OVERFLOW at libplist/src/plist.c:431:9
[INTEGRITY] OVERFLOW at libplist/libcnary/node_list.c:101:9
[INTEGRITY] OVERFLOW at libplist/libcnary/node_list.c:107:8
[INTEGRITY] OVERFLOW at libplist/src/plist.c:993:9
[INTEGRITY] OVERFLOW at libplist/src/ptrarray.c:44:0
[INTEGRITY] OVERFLOW at libplist/src/ptrarray.c:51:22
[INTEGRITY] OVERFLOW at libplist/src/ptrarray.c:47:6
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:149:4
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:729:0
[INTEGRITY] OVERFLOW at libplist/src/plist.c:539:0
[INTEGRITY] OVERFLOW at libplist/src/plist.c:361:12
[INTEGRITY] OVERFLOW at libplist/src/plist.c:403:47
[INTEGRITY] OVERFLOW at libplist/src/ptrarray.c:35:0
[INTEGRITY] OVERFLOW at libplist/src/ptrarray.c:36:6
[INTEGRITY] OVERFLOW at libplist/src/plist.c:1002:16
[INTEGRITY] OVERFLOW at libplist/src/plist.c:1005:12
[INTEGRITY] OVERFLOW at libplist/src/ptrarray.c:61:0
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:620:13
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:625:21
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:528:0
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:498:28
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:498:5
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:514:28
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:556:23
[INTEGRITY] OVERFLOW at libplist/src/plist.c:615:0
[INTEGRITY] OVERFLOW at libplist/src/plist.c:621:11
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:609:13
[INTEGRITY] OVERFLOW at libplist/libcnary/node_list.c:37:0
[INTEGRITY] OVERFLOW at libplist/libcnary/node_list.c:38:21
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:152:7
[INTEGRITY] OVERFLOW at libplist/libcnary/node_list.c:67:9
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:549:36
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:492:16
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:495:9
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:517:9
[INTEGRITY] OVERFLOW at libplist/libcnary/node_list.c:140:10
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:34:6
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:173:0
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:913:20
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:918:5
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:43:6
[INTEGRITY] OVERFLOW at libplist/src/jsmn.c:195:9
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:549:16
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:560:34
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:566:21
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:483:0
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:596:27
[INTEGRITY] OVERFLOW at libplist/src/plist.c:641:0
[INTEGRITY] OVERFLOW at libplist/src/plist.c:647:11
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:560:95
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:584:57
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:521:22
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:560:202
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:560:20
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:584:148
[INTEGRITY] OVERFLOW at libplist/src/jplist.c:584:21
#787	INITED cov: 390 ft: 3292 corp: 678/456Kb exec/s: 0 rss: 28Mb
#1971	REDUCE cov: 390 ft: 3292 corp: 678/456Kb lim: 4070 exec/s: 0 rss: 28Mb L: 41/4059 MS: 4 CopyPart-ChangeByte-CopyPart-EraseBytes-
#4570	REDUCE cov: 390 ft: 3292 corp: 678/456Kb lim: 4092 exec/s: 0 rss: 29Mb L: 154/4059 MS: 4 ChangeByte-ChangeBinInt-InsertByte-EraseBytes-
#5488	REDUCE cov: 390 ft: 3292 corp: 678/456Kb lim: 4092 exec/s: 0 rss: 29Mb L: 14/4059 MS: 3 ChangeByte-ChangeByte-EraseBytes-
#6554	REDUCE cov: 390 ft: 3292 corp: 678/456Kb lim: 4092 exec/s: 0 rss: 29Mb L: 229/4059 MS: 1 EraseBytes-
#6585	REDUCE cov: 390 ft: 3292 corp: 678/456Kb lim: 4092 exec/s: 0 rss: 29Mb L: 473/4059 MS: 1 EraseBytes-
#8046	REDUCE cov: 390 ft: 3292 corp: 678/456Kb lim: 4096 exec/s: 0 rss: 29Mb L: 3/4059 MS: 1 EraseBytes-
#8097	REDUCE cov: 390 ft: 3292 corp: 678/456Kb lim: 4096 exec/s: 0 rss: 29Mb L: 30/4059 MS: 1 EraseBytes-
#12335	REDUCE cov: 390 ft: 3292 corp: 678/456Kb lim: 4096 exec/s: 0 rss: 29Mb L: 73/4059 MS: 3 ShuffleBytes-InsertByte-EraseBytes-
#14862	REDUCE cov: 390 ft: 3292 corp: 678/456Kb lim: 4096 exec/s: 0 rss: 30Mb L: 516/4059 MS: 2 ChangeByte-EraseBytes-
#16463	REDUCE cov: 390 ft: 3292 corp: 678/456Kb lim: 4096 exec/s: 0 rss: 30Mb L: 79/4059 MS: 1 EraseBytes-
#16904	REDUCE cov: 390 ft: 3292 corp: 678/456Kb lim: 4096 exec/s: 0 rss: 30Mb L: 2/4059 MS: 1 EraseBytes-
#17407	REDUCE cov: 390 ft: 3292 corp: 678/456Kb lim: 4096 exec/s: 0 rss: 30Mb L: 360/4059 MS: 3 ChangeBit-ShuffleBytes-EraseBytes-
#17683	REDUCE cov: 390 ft: 3292 corp: 678/456Kb lim: 4096 exec/s: 0 rss: 30Mb L: 23/4059 MS: 1 EraseBytes-
#22854	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 0 rss: 30Mb L: 895/4059 MS: 1 EraseBytes-
#29775	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 29775 rss: 30Mb L: 8/4059 MS: 1 EraseBytes-
#31462	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 31462 rss: 30Mb L: 866/4059 MS: 2 InsertByte-EraseBytes-
#32028	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 32028 rss: 30Mb L: 111/4059 MS: 1 EraseBytes-
#32561	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 32561 rss: 30Mb L: 122/4059 MS: 3 ChangeBinInt-ChangeBinInt-EraseBytes-
#33017	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 33017 rss: 30Mb L: 44/4059 MS: 1 EraseBytes-
#35639	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 35639 rss: 30Mb L: 77/4059 MS: 1 EraseBytes-
#35900	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 35900 rss: 30Mb L: 1075/4059 MS: 1 EraseBytes-
#37496	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 37496 rss: 30Mb L: 236/4059 MS: 1 EraseBytes-
#38172	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 38172 rss: 30Mb L: 102/4059 MS: 1 EraseBytes-
#39883	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 39883 rss: 30Mb L: 105/4059 MS: 1 EraseBytes-
#44279	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 44279 rss: 30Mb L: 87/4059 MS: 1 EraseBytes-
#45945	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 45945 rss: 30Mb L: 154/4059 MS: 1 EraseBytes-
#47864	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 47864 rss: 31Mb L: 245/4059 MS: 4 ShuffleBytes-InsertByte-ChangeByte-EraseBytes-
#50537	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 50537 rss: 31Mb L: 2314/4059 MS: 3 InsertRepeatedBytes-EraseBytes-InsertRepeatedBytes-
#51741	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 51741 rss: 31Mb L: 12/4059 MS: 4 ChangeASCIIInt-ChangeBinInt-EraseBytes-CopyPart-
#54612	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 54612 rss: 31Mb L: 26/4059 MS: 1 EraseBytes-
