INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 3793181345
INFO: Loaded 1 modules   (4141 inline 8-bit counters): 4141 [0x618a23425220, 0x618a2342624d), 
INFO: Loaded 1 PC tables (4141 PCs): 4141 [0x618a23426250,0x618a23436520), 
INFO: 5530 Extra Counters
INFO:      646 files found in corpus/libplist/oplist/
INFO: -max_len is not provided; libFuzzer will not generate inputs larger than 4096 bytes
INFO: seed corpus: files: 646 min: 1b max: 4071b total: 463056b rss: 27Mb
[INTEGRITY] SHIFT_OVF at libplist/src/oplist.c:753:24
[INTEGRITY] SHIFT_OVF at libplist/src/oplist.c:844:50
[INTEGRITY] OVERFLOW at libplist/src/plist.c:713:0
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:528:30
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:525:0
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:554:87
[INTEGRITY] OVERFLOW at libplist/src/plist.c:714:9
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:526:5
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:554:62
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:532:45
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:635:0
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:644:41
[INTEGRITY] OVERFLOW at libplist/src/plist.c:360:0
[INTEGRITY] OVERFLOW at libplist/src/plist.c:348:0
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:48:0
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:64:6
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:677:49
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:918:9
[INTEGRITY] OVERFLOW at libplist/src/plist.c:505:9
[INTEGRITY] OVERFLOW at libplist/src/plist.c:428:0
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:262:0
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:263:6
[INTEGRITY] OVERFLOW at libplist/src/plist.c:431:9
[INTEGRITY] OVERFLOW at libplist/src/plist.c:423:5
[INTEGRITY] OVERFLOW at libplist/src/plist.c:390:0
[INTEGRITY] OVERFLOW at libplist/src/plist.c:403:47
[INTEGRITY] OVERFLOW at libplist/src/ptrarray.c:35:0
[INTEGRITY] OVERFLOW at libplist/src/ptrarray.c:36:6
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:31:0
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:34:21
[INTEGRITY] OVERFLOW at libplist/libcnary/node_list.c:32:0
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:683:21
