Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
Included,auto,No,0,1629,507232,3530,512391,Included
Included,auto,No,0,9538,597632,4038,611208,Included
Included,auto,No,0,22910,652960,6220,682090,Included
Included,auto,No,0,1891,526432,4311,532634,Included
Included,auto,No,0,5796,489728,4573,500097,Included
Included,auto,No,0,18483,437408,6328,462219,Included
Included,auto,No,0,14804,402752,4543,422099,Included
Included,auto,No,0,11583,441728,6069,459380,Included
Included,auto,No,0,10478,266592,3967,281037,Included
Included,auto,No,0,13364,245760,3257,262381,Included
Included,auto,No,0,164762,279584,18759,463105,Included
Included,auto,No,0,92039,133376,7968,233383,Included
Included,auto,No,0,3942,639200,2156,645298,Included
Included,auto,No,0,6673,312032,385,319090,Included
Included,auto,No,0,3094,776128,2818,782040,Included
Included,auto,No,0,27053,1305984,4239,1337276,Included
Included,auto,No,0,20572,806656,2530,829758,Included
Included,auto,No,0,5377,527648,2216,535241,Included
Included,auto,No,0,48542,597728,2477,648747,Included
Included,auto,No,0,4768,620288,2235,627291,Included
Included,auto,No,0,19281,813152,3074,835507,Included
Included,auto,No,0,30279,638560,3049,671888,Included
Included,auto,No,0,2608,525568,2738,530914,Included
Included,auto,No,0,30080,565152,3688,598920,Included
Included,auto,No,0,25515,516288,3130,544933,Included
Included,auto,No,0,49163,671488,3832,724483,Included
Included,auto,No,0,17270,345728,3054,366052,Included
Included,auto,No,0,64744,273344,2451,340539,Included
Included,auto,No,0,15052,236576,2406,254034,Included
Included,auto,No,0,51035,408256,3569,462860,Included
Included,auto,No,0,116683,435680,5233,557596,Included
Included,auto,No,0,205454,280224,6221,491899,Included
Included,auto,No,0,5605,1226688,7540,1239833,Included
Included,auto,No,0,9050,983520,7120,999690,Included
Included,auto,No,0,25891,889600,3575,919066,Included
Included,auto,No,0,27448,507488,3788,538724,Included
Included,auto,No,0,11278,489376,3851,504505,Included
Included,auto,No,0,48937,930944,10850,990731,Included
Included,auto,No,0,53644,330432,4055,388131,Included
Included,auto,No,0,17378,529920,4954,552252,Included
Included,auto,No,0,15869,226528,3808,246205,Included
Included,auto,No,0,15205,203040,4420,222665,Included
Included,auto,No,0,184914,431424,9093,625431,Included
Included,auto,No,0,149301,147456,6518,303275,Included
Included,auto,No,0,13649,606336,3439,623424,Included
Included,auto,No,0,29510,709760,4659,743929,Included
Included,auto,No,0,9918,699040,4157,713115,Included
Included,auto,No,0,2278,534560,3440,540278,Included
Included,auto,No,0,3164,510176,3500,516840,Included
Included,auto,No,0,15928,1064160,5338,1085426,Included
Included,auto,No,0,2240,334272,3328,339840,Included
Included,auto,No,0,6589,315552,3414,325555,Included
Included,auto,No,0,14861,490048,4388,509297,Included
Included,auto,No,0,11386,640832,4408,656626,Included
Included,auto,No,0,17790,408320,4244,430354,Included
Included,auto,No,0,1517,236128,3342,240987,Included
Included,auto,No,0,1654,221632,3362,226648,Included
Included,auto,No,0,120647,155392,3435,279474,Included
Included,auto,No,0,56444,135168,3381,194993,Included
Included,auto,No,0,17161,160384,3327,180872,Included
Included,auto,No,0,28483,134368,3458,166309,Included
Included,auto,No,0,16841,177952,3501,198294,Included
Included,auto,No,0,49379,80672,3570,133621,Included
Included,auto,No,0,45608,66688,3810,116106,Included
Included,auto,No,0,174436,185536,6091,366063,Included
Included,auto,No,0,40963,252224,2905,296092,Included
Included,auto,No,0,15090,239552,3345,257987,Included
Included,auto,No,0,140597,275456,5440,421493,Included
Included,auto,No,0,144939,301152,5462,451553,Included
Included,auto,No,0,17570,674080,4843,696493,Included
Included,auto,No,0,20618,897312,3977,921907,Included
Included,auto,No,0,61621,1804288,11412,1877321,Included
Included,auto,No,0,45094,1505280,6643,1557017,Included
Included,auto,No,0,39199,840960,7646,887805,Included
Included,auto,No,0,174251,826912,8070,1009233,Included
Included,auto,No,0,231223,521632,8498,761353,Included
Included,auto,No,0,75892,110656,4444,190992,Included
Included,auto,No,0,277832,357536,8193,643561,Included
Included,auto,No,0,107427,854080,9018,970525,Included
Included,auto,No,0,75092,105568,2741,183401,Included
Included,auto,No,0,35646,438784,5538,479968,Included
